Bucket,Count
0,9
1,3
2,7
3,14
4,13
5,11
6,15
7,11
8,11
9,6
10,15
11,11
12,14
13,9
14,14
15,12
16,6
17,12
18,6
19,11
20,10
21,8
22,5
23,8
24,8
25,6
26,11
27,12
28,6
29,11
30,9
31,16
32,11
33,10
34,9
35,11
36,10
37,11
38,11
39,7
40,6
41,9
42,3
43,9
44,8
45,6
46,7
47,8
48,8
49,6
50,5
51,10
52,3
53,9
54,12
55,9
56,7
57,15
58,5
59,11
60,17
61,16
62,6
63,9
64,4
65,7
66,3
67,9
68,12
69,8
70,7
71,12
72,13
73,7
74,2
75,9
76,5
77,14
78,16
79,7
80,13
81,9
82,8
83,10
84,12
85,10
86,10
87,13
88,9
89,5
90,8
91,11
92,7
93,8
94,13
95,12
96,9
97,10
98,9
99,8
100,6
101,7
102,8
103,9
104,6
105,9
106,7
107,5
108,2
109,3
110,6
111,16
112,7
113,9
114,7
115,6
116,7
117,12
118,6
119,9
120,12
121,8
122,11
123,15
124,8
125,10
126,8
127,15
128,8
129,19
130,14
131,7
132,11
133,8
134,10
135,4
136,11
137,6
138,10
139,7
140,8
141,5
142,6
143,10
144,6
145,19
146,10
147,12
148,14
149,8
150,10
151,8
152,5
153,8
154,6
155,12
156,6
157,10
158,11
159,10
160,7
161,6
162,5
163,9
164,8
165,4
166,12
167,10
168,5
169,6
170,15
171,10
172,15
173,6
174,9
175,9
176,7
177,9
178,7
179,11
180,9
181,13
182,13
183,12
184,9
185,11
186,11
187,11
188,11
189,12
190,8
191,11
192,9
193,12
194,12
195,10
196,5
197,7
198,10
199,12
200,13
201,5
202,8
203,10
204,5
205,7
206,12
207,8
208,8
209,7
210,12
211,16
212,9
213,14
214,9
215,10
216,6
217,10
218,9
219,10
220,8
221,7
222,10
223,4
224,2
225,9
226,7
227,14
228,9
229,11
230,8
231,10
232,7
233,10
234,6
235,4
236,8
237,10
238,7
239,9
240,8
241,7
242,7
243,6
244,7
245,15
246,7
247,15
248,12
249,12
250,8
251,9
252,10
253,15
254,6
255,12
256,8
257,11
258,15
259,11
260,15
261,8
262,9
263,12
264,13
265,10
266,7
267,5
268,9
269,5
270,9
271,10
272,15
273,5
274,8
275,8
276,13
277,12
278,7
279,9
280,11
281,8
282,14
283,4
284,5
285,12
286,13
287,11
288,6
289,17
290,9
291,10
292,12
293,11
294,8
295,6
296,8
297,5
298,10
299,12
300,14
301,7
302,9
303,12
304,3
305,8
306,8
307,16
308,9
309,11
310,12
311,11
312,14
313,10
314,11
315,12
316,8
317,15
318,12
319,16
320,7
321,15
322,8
323,14
324,12
325,13
326,9
327,11
328,7
329,11
330,16
331,6
332,8
333,10
334,8
335,13
336,11
337,8
338,7
339,9
340,6
341,10
342,13
343,11
344,11
345,9
346,13
347,9
348,7
349,13
350,11
351,7
352,11
353,11
354,10
355,16
356,7
357,11
358,10
359,8
360,6
361,14
362,6
363,11
364,19
365,11
366,16
367,7
368,10
369,3
370,10
371,11
372,7
373,5
374,7
375,8
376,7
377,7
378,5
379,7
380,10
381,12
382,12
383,13
384,8
385,18
386,15
387,10
388,9
389,9
390,11
391,9
392,12
393,7
394,10
395,14
396,13
397,3
398,6
399,10
400,10
401,10
402,11
403,11
404,7
405,5
406,11
407,7
408,14
409,13
410,9
411,13
412,13
413,12
414,13
415,8
416,7
417,10
418,9
419,5
420,10
421,12
422,7
423,16
424,8
425,10
426,11
427,6
428,11
429,7
430,17
431,8
432,14
433,4
434,8
435,10
436,12
437,8
438,8
439,13
440,5
441,11
442,10
443,5
444,8
445,5
446,9
447,8
448,9
449,8
450,11
451,8
452,9
453,10
454,7
455,10
456,9
457,8
458,7
459,11
460,7
461,8
462,7
463,10
464,5
465,6
466,8
467,8
468,11
469,8
470,9
471,10
472,7
473,11
474,8
475,7
476,8
477,8
478,6
479,8
480,8
481,6
482,7
483,3
484,8
485,7
486,13
487,11
488,10
489,8
490,9
491,11
492,12
493,4
494,7
495,8
496,9
497,10
498,8
499,7
500,5
501,14
502,11
503,11
504,13
505,7
506,8
507,15
508,11
509,8
510,12
511,13
512,9
513,13
514,5
515,9
516,7
517,11
518,5
519,5
520,8
521,6
522,13
523,7
524,6
525,11
526,10
527,8
