Bucket,Count
0,0
1,1
2,1
3,0
4,0
5,1
6,0
7,0
8,0
9,2
10,0
11,2
12,1
13,1
14,0
15,0
16,0
17,0
18,1
19,2
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,1
30,0
31,0
32,0
33,1
34,0
35,1
36,1
37,2
38,1
39,1
40,1
41,0
42,1
43,1
44,0
45,0
46,1
47,2
48,0
49,1
50,0
51,0
52,1
53,0
54,1
55,0
56,0
57,1
58,1
59,0
60,2
61,0
62,0
63,0
64,1
65,2
66,1
67,0
68,0
69,0
70,2
71,0
72,1
73,0
74,1
75,2
76,0
77,0
78,0
79,2
80,0
81,1
82,3
83,0
84,1
85,1
86,2
87,1
88,0
89,0
90,1
91,1
92,1
93,0
94,0
95,0
96,2
97,0
98,0
99,0
100,0
101,0
102,2
103,0
104,0
105,1
106,1
107,0
108,1
109,0
110,0
111,2
112,2
113,0
114,0
115,0
116,1
117,0
118,1
119,2
120,2
121,0
122,0
123,0
124,1
125,0
126,0
127,0
128,0
129,1
130,0
131,0
132,1
133,1
134,1
135,0
136,1
137,1
138,0
139,0
140,2
141,2
142,0
143,2
144,1
145,0
146,0
147,0
148,0
149,1
150,1
151,1
152,0
153,2
154,1
155,1
156,0
157,0
158,0
159,0
160,0
161,1
162,0
163,1
164,0
165,1
166,0
167,1
168,0
169,1
170,1
171,1
172,1
173,1
174,0
175,1
176,1
177,0
178,0
179,0
180,1
181,0
182,1
183,1
184,1
185,0
186,1
187,0
188,1
189,2
190,0
191,0
192,0
193,1
194,1
195,1
196,0
197,0
198,2
199,1
200,1
201,0
202,2
203,0
204,0
205,0
206,1
207,1
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,3
217,1
218,1
219,0
220,0
221,0
222,0
223,0
224,0
225,3
226,2
227,0
228,0
229,1
230,0
231,0
232,0
233,1
234,2
235,0
236,1
237,0
238,0
239,0
240,0
241,0
242,1
243,1
244,0
245,0
246,1
247,0
248,0
249,0
250,1
251,0
252,0
253,0
254,0
255,2
256,2
257,3
258,1
259,2
260,0
261,1
262,1
263,0
264,0
265,1
266,0
267,0
268,1
269,0
270,2
271,2
272,0
273,1
274,1
275,0
276,2
277,2
278,0
279,3
280,0
281,0
282,0
283,1
284,0
285,2
286,0
287,3
288,1
289,1
290,0
291,1
292,0
293,1
294,0
295,1
296,1
297,0
298,0
299,0
300,1
301,1
302,0
303,1
304,0
305,0
306,1
307,0
308,1
309,0
310,1
311,0
312,1
313,0
314,0
315,1
316,2
317,1
318,0
319,1
320,1
321,0
322,0
323,0
324,0
325,1
326,1
327,0
328,0
329,1
330,0
331,2
332,0
333,1
334,1
335,1
336,0
337,1
338,0
339,0
340,0
341,2
342,0
343,0
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,0
354,1
355,0
356,0
357,0
358,0
359,1
360,1
361,0
362,1
363,3
364,0
365,0
366,1
367,0
368,0
369,0
370,0
371,0
372,0
373,2
374,0
375,0
376,0
377,0
378,1
379,0
380,2
381,0
382,0
383,1
384,1
385,0
386,1
387,1
388,2
389,0
390,0
391,0
392,0
393,0
394,0
395,2
396,1
397,1
398,0
399,1
400,0
401,0
402,1
403,0
404,0
405,1
406,0
407,3
408,0
409,1
410,1
411,2
412,0
413,4
414,1
415,1
416,1
417,0
418,0
419,1
420,1
421,0
422,0
423,2
424,1
425,0
426,0
427,0
428,1
429,0
430,1
431,0
432,1
433,0
434,0
435,0
436,1
437,0
438,1
439,2
440,0
441,2
442,0
443,2
444,1
445,1
446,0
447,0
448,1
449,1
450,0
451,1
452,1
453,0
454,1
455,1
456,1
457,0
458,1
459,0
460,0
461,0
462,0
463,0
464,1
465,2
466,1
467,0
468,1
469,0
470,1
471,0
472,0
473,0
474,1
475,1
476,0
477,1
478,0
479,0
480,1
481,0
482,2
483,1
484,1
485,1
486,0
487,0
488,1
489,1
490,0
491,0
492,1
493,0
494,0
495,2
496,1
497,1
498,1
499,0
500,0
501,0
502,2
503,0
504,1
505,0
506,1
507,0
508,1
509,0
510,0
511,0
512,1
513,0
514,0
515,0
516,0
517,0
518,0
519,2
520,1
521,1
522,1
523,1
524,0
525,1
526,0
527,1
528,1
529,1
530,0
531,0
532,3
533,0
534,2
535,0
536,1
537,1
538,1
539,0
540,1
541,0
542,2
543,0
544,0
545,0
546,2
547,1
548,1
549,0
550,2
551,0
552,2
553,0
554,1
555,0
556,1
557,0
558,1
559,0
560,1
561,1
562,1
563,2
564,1
565,1
566,2
567,1
568,0
569,1
570,2
571,2
572,1
573,3
574,1
575,0
576,0
577,3
578,0
579,0
580,3
581,0
582,0
583,0
584,1
585,1
586,1
587,1
588,0
589,0
590,0
591,0
592,1
593,0
594,0
595,1
596,0
597,2
598,0
599,0
600,0
601,0
602,0
603,1
604,1
605,0
606,0
607,1
608,0
609,1
610,0
611,1
612,0
613,0
614,1
615,0
616,2
617,0
618,1
619,0
620,0
621,0
622,1
623,1
624,1
625,1
626,0
627,0
628,0
629,1
630,1
631,0
632,2
633,0
634,0
635,0
636,0
637,2
638,1
639,1
640,0
641,0
642,0
643,0
644,1
645,0
646,1
647,0
648,2
649,1
650,0
651,2
652,0
653,1
654,0
655,0
656,1
657,0
658,0
659,0
660,0
661,1
662,0
663,0
664,0
665,0
666,0
667,0
668,2
669,2
670,0
671,1
672,0
673,0
674,0
675,1
676,0
677,0
678,1
679,0
680,1
681,1
682,0
683,1
684,0
685,0
686,0
687,0
688,2
689,0
690,1
691,4
692,0
693,1
694,1
695,2
696,1
697,1
698,0
699,1
700,0
701,0
702,1
703,1
704,0
705,0
706,0
707,0
708,0
709,1
710,0
711,0
712,1
713,2
714,0
715,2
716,0
717,1
718,0
719,0
720,0
721,1
722,2
723,1
724,1
725,1
726,0
727,0
728,1
729,1
730,0
731,0
732,2
733,0
734,1
735,1
736,0
737,0
738,1
739,1
740,0
741,1
742,0
743,1
744,1
745,0
746,1
747,0
748,0
749,0
750,1
751,1
752,0
753,0
754,2
755,1
756,0
757,0
758,2
759,0
760,0
761,0
762,0
763,0
764,0
765,2
766,1
767,0
768,0
769,1
770,0
771,1
772,0
773,0
774,0
775,0
776,0
777,1
778,1
779,1
780,0
781,1
782,1
783,1
784,1
785,0
786,2
787,1
788,3
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,1
799,0
800,1
801,0
802,0
803,1
804,1
805,0
806,0
807,0
808,0
809,1
810,0
811,0
812,1
813,2
814,0
815,1
816,2
817,0
818,0
819,0
820,0
821,1
822,0
823,2
824,2
825,2
826,1
827,1
828,0
829,2
830,1
831,0
832,2
833,0
834,1
835,2
836,2
837,0
838,1
839,0
840,1
841,0
842,1
843,0
844,0
845,0
846,1
847,1
848,1
849,1
850,1
851,2
852,0
853,1
854,1
855,0
856,1
857,0
858,1
859,0
860,0
861,0
862,0
863,0
864,3
865,1
866,3
867,2
868,0
869,4
870,0
871,0
872,0
873,2
874,1
875,0
876,0
877,1
878,0
879,1
880,1
881,1
882,0
883,0
884,2
885,0
886,0
887,0
888,1
889,0
890,1
891,0
892,1
893,1
894,0
895,3
896,1
897,1
898,1
899,1
900,1
901,1
902,0
903,0
904,0
905,1
906,1
907,0
908,0
909,0
910,2
911,0
912,1
913,1
914,0
915,1
916,0
917,0
918,1
919,1
920,0
921,1
922,0
923,0
924,0
925,1
926,0
927,0
928,1
929,0
930,1
931,0
932,0
933,0
934,0
935,0
936,0
937,1
938,0
939,0
940,1
941,0
942,0
943,1
944,0
945,0
946,1
947,0
948,1
949,0
950,0
951,0
952,0
953,0
954,0
955,2
956,0
957,0
958,2
959,0
960,1
961,0
962,1
963,2
964,1
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,2
976,1
977,0
978,1
979,2
980,1
981,1
982,1
983,0
984,1
985,0
986,1
987,1
988,0
989,2
990,2
991,1
992,1
993,0
994,0
995,0
996,1
997,1
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,1
1008,0
1009,0
1010,0
1011,1
1012,0
1013,0
1014,2
1015,1
1016,0
1017,0
1018,1
1019,0
1020,0
1021,1
1022,2
1023,0
1024,0
1025,0
1026,2
1027,0
1028,3
1029,2
1030,1
1031,1
1032,0
1033,1
1034,0
1035,0
1036,1
1037,1
1038,2
1039,0
1040,1
1041,0
1042,0
1043,0
1044,1
1045,0
1046,0
1047,0
1048,0
1049,0
1050,1
1051,1
1052,0
1053,0
1054,2
1055,0
1056,0
1057,1
1058,1
1059,1
